ICB Sub location,GP_ODS_CODE
52R,C84076
52R,C84077
52R,C84078
52R,C84080
52R,C84081
52R,C84084
52R,C84085
52R,C84086
52R,C84087
52R,C84090
52R,C84091
52R,C84092
02Q,C84094
52R,C84095
02Q,C84101
52R,C84105
52R,C84106
52R,C84107
52R,C84112
52R,C84113
52R,C84115
52R,C84116
52R,C84117
52R,C84120
52R,C84122
52R,C84123
52R,C84129
52R,C84131
52R,C84136
52R,C84140
52R,C84142
52R,C84144
52R,C84150
52R,C84151
52R,C84605
52R,C84613
52R,C84619
52R,C84621
52R,C84624
52R,C84628
52R,C84629
52R,C84637
52R,C84646
52R,C84654
52R,C84656
52R,C84658
52R,C84660
52R,C84664
52R,C84667
52R,C84676
52R,C84679
52R,C84682
52R,C84683
52R,C84691
02Q,C84692
52R,C84693
52R,C84694
52R,C84695
52R,C84696
52R,C84703
52R,C84704
52R,C84705
52R,C84714
02P,C85001
02P,C85003
02P,C85004
02P,C85005
02P,C85006
02P,C85007
02P,C85008
02P,C85009
02P,C85010
02P,C85013
02P,C85014
02P,C85016
02P,C85017
02P,C85018
02P,C85019
02P,C85020
02P,C85022
02P,C85023
02P,C85024
02P,C85028
02P,C85030
02P,C85033
02P,C85614
02P,C85619
02P,C85622
02P,C85623
02X,C86001
02X,C86002
02X,C86003
02X,C86005
02X,C86006
02X,C86007
02X,C86009
02X,C86011
02X,C86012
02X,C86013
02X,C86015
02X,C86016
02X,C86017
02X,C86018
02X,C86019
02X,C86020
02X,C86021
02X,C86023
02X,C86024
02X,C86025
02X,C86026
02X,C86029
02X,C86032
02X,C86033
02X,C86034
02X,C86037
02X,C86038
02X,C86605
02X,C86609
02X,C86611
02X,C86614
02X,C86616
02X,C86621
02X,C86625
02X,C86626
03L,C87002
03L,C87003
03L,C87004
03L,C87005
03L,C87006
03L,C87007
03L,C87008
03L,C87009
03L,C87010
03L,C87012
03L,C87013
03L,C87014
03L,C87015
03L,C87016
03L,C87017
03L,C87018
03L,C87020
03L,C87022
03L,C87024
03L,C87029
03L,C87030
03L,C87031
03L,C87603
03L,C87604
03L,C87608
03L,C87616
03L,C87620
03L,C87622
03N,C88005
03N,C88006
03N,C88007
03N,C88008
03N,C88009
03N,C88010
03N,C88011
03N,C88014
03N,C88015
03N,C88016
03N,C88018
03N,C88019
03N,C88020
03N,C88021
03N,C88022
03N,C88023
03N,C88025
03N,C88026
03N,C88027
03N,C88028
03N,C88030
03N,C88031
03N,C88032
03N,C88034
03N,C88035
03N,C88036
03N,C88037
03N,C88038
03N,C88039
03N,C88040
03N,C88041
03N,C88043
03N,C88044
03N,C88045
03N,C88046
03N,C88047
03N,C88048
03N,C88049
03N,C88050
03N,C88051
03N,C88052
03N,C88053
03N,C88054
03N,C88059
03N,C88060
03N,C88062
03N,C88069
03N,C88070
03N,C88072
03N,C88073
03N,C88074
03N,C88076
03N,C88077
03N,C88078
03N,C88079
03N,C88082
03N,C88083
03N,C88084
03N,C88085
03N,C88086
03N,C88087
03N,C88088
03N,C88090
03N,C88091
03N,C88092
03N,C88095
03N,C88622
03N,C88627
03N,C88631
03N,C88647
03N,C88648
03N,C88652
03N,C88655
06H,D81001
06H,D81002
06H,D81003
06H,D81004
06H,D81005
06H,D81008
06H,D81010
06H,D81011
06H,D81012
06H,D81013
06H,D81014
06H,D81015
06H,D81016
06H,D81017
06H,D81018
06H,D81021
06H,D81022
06H,D81025
06H,D81026
06H,D81027
06H,D81028
06H,D81029
06H,D81030
06H,D81031
06H,D81033
06H,D81034
06H,D81035
06H,D81036
06H,D81037
06H,D81038
06H,D81041
06H,D81042
06H,D81043
06H,D81044
06H,D81045
06H,D81046
06K,D81047
06H,D81049
06H,D81050
06H,D81051
06H,D81052
06H,D81054
06H,D81055
06H,D81056
06H,D81057
06H,D81058
06H,D81059
06H,D81060
06H,D81061
06H,D81062
06H,D81064
06H,D81065
06H,D81066
06H,D81070
06H,D81073
06H,D81078
06H,D81081
06H,D81082
06H,D81084
06H,D81086
06H,D81603
06H,D81606
06H,D81607
06H,D81611
06H,D81612
06H,D81615
06H,D81618
06H,D81622
06H,D81625
06H,D81629
06H,D81630
06H,D81631
06H,D81633
06H,D81637
06H,D81645
26A,D82001
26A,D82002
26A,D82003
26A,D82005
26A,D82006
26A,D82007
26A,D82008
26A,D82009
26A,D82010
26A,D82011
26A,D82012
26A,D82013
26A,D82015
26A,D82016
26A,D82017
26A,D82018
26A,D82019
26A,D82020
26A,D82022
26A,D82023
26A,D82024
26A,D82025
26A,D82026
26A,D82027
26A,D82028
26A,D82029
26A,D82030
26A,D82031
26A,D82032
26A,D82034
26A,D82035
26A,D82036
26A,D82037
26A,D82038
26A,D82039
26A,D82040
26A,D82041
26A,D82042
26A,D82043
26A,D82044
26A,D82045
26A,D82046
26A,D82047
26A,D82048
26A,D82049
26A,D82050
26A,D82051
26A,D82053
26A,D82054
26A,D82056
26A,D82057
26A,D82058
26A,D82059
26A,D82062
26A,D82063
26A,D82064
26A,D82065
26A,D82066
26A,D82067
26A,D82068
26A,D82070
26A,D82071
26A,D82072
26A,D82073
26A,D82076
26A,D82078
26A,D82079
26A,D82080
26A,D82084
26A,D82085
26A,D82087
26A,D82088
26A,D82096
26A,D82099
26A,D82100
26A,D82104
26A,D82105
26A,D82106
26A,D82600
26A,D82604
26A,D82618
26A,D82621
26A,D82624
26A,D82628
06L,D83001
26A,D83002
07K,D83003
06L,D83004
07K,D83005
06L,D83006
07K,D83007
06L,D83008
26A,D83009
26A,D83010
26A,D83011
07K,D83012
07K,D83013
06L,D83015
26A,D83016
06L,D83017
07K,D83018
06L,D83019
06L,D83020
07K,D83021
26A,D83022
26A,D83023
06L,D83024
06L,D83026
07K,D83027
06L,D83028
07K,D83029
26A,D83030
07K,D83033
26A,D83034
26A,D83035
06L,D83037
07K,D83038
07K,D83040
06L,D83041
06L,D83043
06L,D83044
07K,D83045
06L,D83046
26A,D83047
06L,D83048
06L,D83049
06L,D83050
06L,D83051
06L,D83053
06L,D83054
07K,D83055
06L,D83056
06L,D83057
06L,D83059
07K,D83060
06L,D83061
07K,D83062
07K,D83067
06L,D83069
07K,D83070
06L,D83073
06L,D83074
07K,D83075
07K,D83076
07K,D83078
06L,D83079
06L,D83080
06L,D83081
06L,D83084
26A,D83608
07K,D83610
M1J4Y,E81002
M1J4Y,E81003
M1J4Y,E81004
M1J4Y,E81005
M1J4Y,E81006
M1J4Y,E81007
M1J4Y,E81008
M1J4Y,E81009
M1J4Y,E81010
M1J4Y,E81012
M1J4Y,E81013
M1J4Y,E81014
M1J4Y,E81015
M1J4Y,E81016
M1J4Y,E81018
M1J4Y,E81019
M1J4Y,E81021
M1J4Y,E81022
M1J4Y,E81024
M1J4Y,E81025
M1J4Y,E81026
M1J4Y,E81027
M1J4Y,E81028
M1J4Y,E81029
M1J4Y,E81030
M1J4Y,E81031
M1J4Y,E81032
M1J4Y,E81033
M1J4Y,E81034
M1J4Y,E81035
M1J4Y,E81036
M1J4Y,E81037
M1J4Y,E81038
M1J4Y,E81040
M1J4Y,E81041
M1J4Y,E81043
M1J4Y,E81044
M1J4Y,E81045
M1J4Y,E81046
M1J4Y,E81047
M1J4Y,E81048
M1J4Y,E81049
M1J4Y,E81050
M1J4Y,E81052
M1J4Y,E81057
M1J4Y,E81060
M1J4Y,E81061
M1J4Y,E81063
M1J4Y,E81069
M1J4Y,E81073
M1J4Y,E81074
M1J4Y,E81076
M1J4Y,E81612
M1J4Y,E81615
M1J4Y,E81617
M1J4Y,E81631
M1J4Y,E81632
M1J4Y,E81633
M1J4Y,E81635
06N,E82001
06K,E82002
06N,E82004
06K,E82005
06K,E82006
06K,E82007
06K,E82008
06N,E82009
06N,E82012
06N,E82013
06N,E82014
06N,E82015
06N,E82017
06K,E82018
06K,E82019
06N,E82020
